DATE,PLAYER,SOURCE,CHEST,SCORE
2025-03-11 00:00:00,Dacage,Level 15 Crypt,Orc Chest,17
2025-03-11 00:00:00,Dacage,Level 15 Crypt,Orc Chest,17
2025-03-11 00:00:00,Dacage,Level 15 Crypt,Infernal Chest,17
2025-03-11 00:00:00,Dacage,Level 15 Crypt,Elegant Chest,17
2025-03-11 00:00:00,Hausarzt,Level 20 Crypt,Elegant Chest,84
2025-03-11 00:00:00,Hammerschlag1,Level 15 Crypt,Fire Chest,17
2025-03-11 00:00:00,Hausarzt,Level 20 Crypt,Gnome Workshop Chest,84
2025-03-11 00:00:00,Hammerschlag1,Level 25 Crypt,Sand Chest,275
2025-03-11 00:00:00,Hammerschlag1,Level 20 rare Crypt,Rare Dragon Chest,126
2025-03-11 00:00:00,Drachen 2,Level 25 Crypt,Forgotten Chest,275
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Mayan Chest,84
2025-03-11 00:00:00,Hammerschlag1,Level 25 Crypt,Sand Chest,275
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Orc Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Sand Chest,84
2025-03-11 00:00:00,Hammerschlag1,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Elegant Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Infernal Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Fire Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Mayan Chest,84
2025-03-11 00:00:00,Drachen 2,Level 20 Crypt,Gnome Workshop Chest,84
2025-03-11 00:00:00,Drachen 2,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Feldjäger,Level 20 rare Crypt,Rare Dragon Chest,126
2025-03-11 00:00:00,Feldjäger,Level 20 rare Crypt,Rare Dragon Chest,126
2025-03-11 00:00:00,Fluxsfire,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Fire Chest,84
2025-03-11 00:00:00,Fluxsfire,Level 30 rare Crypt,Rare Dragon Chest,500
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Gnome Workshop Chest,84
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Infernal Chest,84
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Stone Chest,84
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Sand Chest,84
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Mayan Chest,84
2025-03-11 00:00:00,Feldjäger,Level 20 rare Crypt,Rare Dragon Chest,126
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Bone Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Feldjäger,Level 20 Crypt,Mayan Chest,84
2025-03-11 00:00:00,Feldjäger,Level 25 Crypt,Sand Chest,275
2025-03-11 00:00:00,Feldjäger,Level 25 Crypt,Stone Chest,275
2025-03-11 00:00:00,Moraron,Mercenary Exchange,Merchant's Chest,20
2025-03-11 00:00:00,Feldjäger,Level 25 Crypt,Orc Chest,275
2025-03-11 00:00:00,Shoppingqueen49x2,Level 25 Crypt,Forgotten Chest,275
2025-03-11 00:00:00,Shoppingqueen49x2,Level 25 Crypt,Cobra Chest,275
2025-03-11 00:00:00,Corda 1004,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11 00:00:00,Shoppingqueen49x2,Level 25 Crypt,Forgotten Chest,275
2025-03-11 00:00:00,Corda 1004,Level 20 Citadel,Elven Citadel Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Mayan Chest,84
2025-03-11 00:00:00,Fluxs,Arena,Gladiator's Chest,2
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Fire Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Orc Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Fluxs,Level 20 Crypt,Sand Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Elegant Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 10 Citadel,Elven Citadel Chest,4
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Bone Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,Braided Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Corda 1004,Level 15 Citadel,Elven Citadel Chest,17
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Forgotten Chest,84
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Orc Chest,84
2025-03-11 00:00:00,Corda 1004,Level 20 Citadel,Elven Citadel Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,Braided Chest,550
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,Turtle Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,White Wood Chest,550
2025-03-11 00:00:00,Shoppingqueen49x2,Level 20 Crypt,Cobra Chest,84
2025-03-11 00:00:00,Reckless,Level 25 epic Crypt,Braided Chest,550
2025-03-11 00:00:00,Corda 1004,Level 20 Citadel,Elven Citadel Chest,84
