PLAYER,SCORE,CHEST_COUNT
GUARDIENoffHUNDER,174732,523
Kajurus,155224,465
Bumblebee,75471,288
Reckless,74160,219
Bruno,73081,1455
Sir Nightwoolf,60955,184
Schmerztherapeut,58344,617
Angus,54508,222
Alisea,52643,773
Hammerschlag1,49878,310
